id,sender_phone,is_business,spam_report_count,about_text,is_verified_biz,body,spoofed_sender,label
phish-0418,923000000000.0,1.0,157.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0431,923000000000.0,1.0,132.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0445,923000000000.0,1.0,198.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0448,923000000000.0,1.0,57.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0459,923000000000.0,0.0,199.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0464,923000000000.0,1.0,102.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0472,923000000000.0,0.0,180.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0478,923000000000.0,1.0,193.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0481,923000000000.0,0.0,191.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0499,923000000000.0,1.0,191.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0019,923000000000.0,1.0,146.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0034,923000000000.0,1.0,60.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0039,923000000000.0,0.0,121.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0040,923000000000.0,1.0,195.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0047,923000000000.0,1.0,141.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0065,923000000000.0,1.0,91.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0079,923000000000.0,1.0,60.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0081,923000000000.0,0.0,89.0,Bank Helpdesk,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0084,923000000000.0,0.0,97.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0116,923000000000.0,1.0,193.0,BISP Rewards Officer,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0121,923000000000.0,1.0,178.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0135,923000000000.0,1.0,152.0,Lucky Draw Verification,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0150,923000000000.0,1.0,95.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0187,923000000000.0,0.0,154.0,Urgent Account Support,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0192,923000000000.0,1.0,162.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
phish-0210,923000000000.0,1.0,82.0,Lucky Draw Verification,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0218,923000000000.0,1.0,175.0,Bank Helpdesk,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0220,923000000000.0,1.0,141.0,BISP Rewards Officer,0.0,Your account is locked. Verify now at http://secure-login.com,attacker@threat-mail.xyz,phishing
phish-0236,923000000000.0,1.0,73.0,Urgent Account Support,0.0,"You won Rs.50,000! Claim here http://reward.xyz",attacker@threat-mail.xyz,phishing
